time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-31T23:57:22.400Z,19.4050007,-155.2496643,-0.55,2.18,ml,14,139,0.01194,0.22,hv,hv70214952,2018-06-01T00:03:02.550Z,"3km SSW of Volcano, Hawaii",earthquake,0.32,0.49,0.22,7,automatic,hv,hv
2018-05-31T23:56:55.410Z,19.4438324,-155.2593384,2.13,2.2,ml,8,248,0.01843,0.14,hv,hv70214947,2018-06-01T00:02:37.360Z,"2km WNW of Volcano, Hawaii",earthquake,1.7,0.94,0.38,5,automatic,hv,hv
2018-05-31T23:49:52.430Z,19.4225006,-155.2728271,1.56,1.92,ml,15,82,0.005019,0.22,hv,hv70214922,2018-05-31T23:55:32.040Z,"3km WSW of Volcano, Hawaii",earthquake,0.53,0.32,0.27,7,automatic,hv,hv
2018-05-31T23:49:19.200Z,19.4034996,-155.2713318,2.05,1.86,ml,13,82,0.007237,0.15,hv,hv70214917,2018-05-31T23:55:00.490Z,"4km SW of Volcano, Hawaii",earthquake,0.5,0.47,0.39,8,automatic,hv,hv
2018-05-31T23:46:18.740Z,19.3826675,-155.2891693,0.04,1.96,ml,9,171,0.008019,0.14,hv,hv70214907,2018-05-31T23:51:58.350Z,"7km SW of Volcano, Hawaii",earthquake,0.37,0.42,0.38,7,automatic,hv,hv
2018-05-31T23:33:21.750Z,19.4176674,-155.272995,1.47,2.04,ml,23,41,0.008278,0.12,hv,hv70214862,2018-05-31T23:39:01.710Z,"3km WSW of Volcano, Hawaii",earthquake,0.24,0.14,0.23,12,automatic,hv,hv
2018-05-31T23:29:22.100Z,19.4191666,-155.2720032,0.97,1.91,ml,14,69,0.00766,0.19,hv,hv70214847,2018-05-31T23:35:03.440Z,"3km WSW of Volcano, Hawaii",earthquake,0.36,0.47,0.33,9,automatic,hv,hv
2018-05-31T23:22:23.220Z,19.4071674,-155.281662,0.71,2.4,ml,16,158,0.01069,0.21,hv,hv70214822,2018-05-31T23:28:02.590Z,"5km WSW of Volcano, Hawaii",earthquake,0.53,0.33,0.26,5,automatic,hv,hv
2018-05-31T23:21:27.610Z,19.3761673,-155.3021698,1.84,2.39,ml,11,145,0.01578,0.13,hv,hv70214817,2018-05-31T23:27:09.490Z,"9km SW of Volcano, Hawaii",earthquake,0.72,0.48,0.29,8,automatic,hv,hv
2018-05-31T23:20:40.210Z,19.4039993,-155.274826,-1.11,2.17,ml,18,71,0.01616,0.32,hv,hv70214812,2018-05-31T23:26:32.310Z,"4km SW of Volcano, Hawaii",earthquake,0.39,0.33,0.36,14,automatic,hv,hv
