time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-08-05T23:47:29.820Z,19.3725,-155.2583333,-0.04,1.82,ml,27,72,0.00493,0.1,hv,hv70525797,2019-04-13T00:23:34.280Z,"6km SSW of Volcano, Hawaii",earthquake,0.11,0.13,0.117,8,reviewed,hv,hv
2018-08-05T22:48:29.040Z,19.393,-155.2733333,-0.09,1.81,ml,21,49,0.002374,0.09,hv,hv70525697,2018-08-14T20:18:49.150Z,"5km SW of Volcano, Hawaii",earthquake,0.15,0.18,0.191,13,reviewed,hv,hv
2018-08-05T17:53:47.300Z,19.4225006,-155.2684937,0.79,1.79,md,17,75,0.004617,0.08,hv,hv70525312,2018-08-05T17:56:35.960Z,"3km WSW of Volcano, Hawaii",earthquake,0.18,0.22,0.16,12,automatic,hv,hv
2018-08-05T17:16:44.910Z,19.3963333,-155.2881667,0.04,1.67,ml,16,74,0.008362,0.08,hv,hv70525232,2018-08-05T20:40:40.940Z,"6km SW of Volcano, Hawaii",earthquake,0.18,0.23,0.127,7,reviewed,hv,hv
2018-08-05T17:07:05.550Z,19.4023342,-155.2978363,0.74,1.89,ml,20,71,0.004732,0.11,hv,hv70525217,2018-08-05T17:12:49.500Z,"7km WSW of Volcano, Hawaii",earthquake,0.21,0.19,0.48,12,automatic,hv,hv
2018-08-05T13:50:26.820Z,19.3668327,-155.2545013,0.54,1.83,ml,25,80,0.009682,0.13,hv,hv70524892,2018-08-05T13:56:08.580Z,"7km SSW of Volcano, Hawaii",earthquake,0.18,0.25,0.2,11,automatic,hv,hv
2018-08-05T12:24:46.530Z,19.3943329,-155.2526703,0.15,1.77,ml,16,115,0.00887,0.16,hv,hv70524707,2018-08-05T12:30:31.000Z,"4km SSW of Volcano, Hawaii",earthquake,0.21,0.27,0.28,6,automatic,hv,hv
2018-08-05T11:38:20.190Z,19.4188333,-155.2438333,0.49,1.57,ml,17,176,0.01656,0.08,hv,hv70524627,2019-01-18T21:04:33.420Z,"1km SSW of Volcano, Hawaii",earthquake,0.24,0.33,0.122,8,reviewed,hv,hv
2018-08-05T10:59:07.590Z,19.4051666,-155.2850037,0.42,1.76,ml,23,37,0.01246,0.13,hv,hv70524567,2018-08-05T11:04:50.720Z,"5km WSW of Volcano, Hawaii",earthquake,0.15,0.18,2.12,11,automatic,hv,hv
2018-08-05T10:17:06.240Z,19.4088326,-155.2828369,1.45,1.87,md,20,65,0.008863,0.12,hv,hv70524487,2018-08-05T10:20:10.310Z,"5km WSW of Volcano, Hawaii",earthquake,0.24,0.28,0.24,16,automatic,hv,hv
2018-08-05T09:31:27.310Z,19.3848333,-155.2496667,0.23,2.74,ml,30,93,0.001691,0.07,hv,hv70524397,2018-10-16T15:34:08.040Z,"5km SSW of Volcano, Hawaii",earthquake,0.17,0.14,0.162,36,reviewed,hv,hv
2018-08-05T09:21:03.450Z,19.3893337,-155.2765045,2.09,2.13,ml,8,131,0.005653,0.17,hv,hv70524382,2018-08-05T09:26:44.970Z,"6km SW of Volcano, Hawaii",earthquake,0.63,0.31,2.93,8,automatic,hv,hv
2018-08-05T08:59:54.110Z,19.3848324,-155.2821655,1.53,2.11,md,14,95,0.001743,0.29,hv,hv70524342,2018-08-05T09:02:47.320Z,"6km SW of Volcano, Hawaii",earthquake,0.47,0.6,0.09,10,automatic,hv,hv
2018-08-05T08:33:42.850Z,19.4144993,-155.2821655,1.04,1.81,md,20,62,0.003636,0.18,hv,hv70524312,2018-08-05T08:39:22.300Z,"4km WSW of Volcano, Hawaii",earthquake,0.23,0.24,0.14,13,automatic,hv,hv
2018-08-05T07:03:45.480Z,19.4104996,-155.2651672,1.86,1.94,md,17,80,0.005237,0.12,hv,hv70524082,2018-08-05T07:06:40.100Z,"3km SW of Volcano, Hawaii",earthquake,0.34,0.44,0.26,13,automatic,hv,hv
2018-08-05T05:47:33.860Z,19.4083333,-155.288,0.95,2.24,ml,27,45,0.009984,0.07,hv,hv70523892,2019-01-17T21:28:06.270Z,"5km WSW of Volcano, Hawaii",earthquake,0.16,0.1,0.177,15,reviewed,hv,hv
2018-08-05T05:44:34.340Z,19.3969994,-155.2793274,-0.75,1.78,md,7,147,0.005606,0.22,hv,hv70523887,2018-08-05T05:50:15.910Z,"5km SW of Volcano, Hawaii",earthquake,0.36,0.44,,5,automatic,hv,hv
2018-08-05T05:12:29.690Z,19.3651676,-155.2503357,0.02,1.87,ml,18,84,0.01242,0.1,hv,hv70523807,2018-08-05T05:18:15.280Z,"7km S of Volcano, Hawaii",earthquake,0.2,0.22,0.18,7,automatic,hv,hv
2018-08-05T05:09:09.660Z,19.4093333,-155.287,0.79,2.08,ml,25,36,0.008726,0.08,hv,hv70523797,2019-01-18T21:27:01.090Z,"5km WSW of Volcano, Hawaii",earthquake,0.13,0.11,0.166,13,reviewed,hv,hv
2018-08-05T04:26:09.330Z,19.4006672,-155.2986603,0.3,1.84,ml,12,98,0.006059,0.28,hv,hv70523697,2018-08-05T04:31:49.340Z,"7km WSW of Volcano, Hawaii",earthquake,0.48,0.6,0.27,7,automatic,hv,hv
2018-08-05T04:11:11.900Z,19.3651676,-155.2485046,0.87,1.86,ml,24,90,0.0112,0.19,hv,hv70523662,2018-08-05T04:16:54.210Z,"7km S of Volcano, Hawaii",earthquake,0.26,0.36,0.36,10,automatic,hv,hv
2018-08-05T04:01:53.270Z,19.3918343,-155.2798309,0.57,1.92,ml,17,57,0.005566,0.12,hv,hv70523617,2018-08-05T04:07:36.280Z,"6km SW of Volcano, Hawaii",earthquake,0.21,0.32,0.25,9,automatic,hv,hv
