time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-05-17T04:15:30.350Z,19.405,-155.281,0.01,5,mw,11,76,0.006997,0.4,hv,hv70164442,2018-08-15T19:46:55.040Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.72,31.61,,3,reviewed,hv,hv
2018-05-17T14:04:10.700Z,19.405,-155.281,0.01,5,mw,13,56,0.006997,0.41,hv,hv70166177,2018-08-15T19:46:55.040Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.62,31.61,,5,reviewed,hv,hv
2018-05-19T09:58:33.210Z,19.405,-155.281,0.01,5.1,mw,13,56,0.006997,0.38,hv,hv70163146,2018-08-15T19:46:58.040Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.61,31.61,,5,reviewed,hv,hv
2018-05-20T01:58:13.320Z,19.405,-155.281,0.01,4.9,mw,19,71,0.006997,0.21,hv,hv70165286,2018-08-15T19:46:59.040Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.32,31.61,,6,reviewed,hv,hv
2018-05-20T21:50:07.310Z,19.405,-155.281,0.01,4.9,mw,13,109,0.006997,0.09,hv,hv70167521,2018-08-15T19:47:00.040Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.34,31.61,,5,reviewed,hv,hv
2018-05-21T10:55:19.180Z,19.405,-155.281,0.01,4.9,mw,14,77,0.006997,0.21,hv,hv70186732,2018-08-21T21:23:48.040Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.4,31.61,,5,reviewed,hv,hv
2018-05-22T03:51:11.860Z,19.405,-155.281,0.01,4.9,mw,14,109,0.006997,0.22,hv,hv70180197,2018-08-21T21:23:48.040Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.42,31.61,,6,reviewed,hv,hv
2018-05-23T07:58:46.290Z,19.405,-155.281,0.01,4.9,mw,13,109,0.006997,0.18,hv,hv70186707,2018-08-21T21:23:48.040Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.42,31.61,,6,reviewed,hv,hv
2018-05-24T04:43:49.890Z,19.405,-155.281,0.01,4.9,mw,12,77,0.01183,0.11,hv,hv70186227,2018-08-21T21:23:49.040Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.27,31.61,,6,reviewed,hv,hv
2018-05-26T02:15:52.250Z,19.4085,-155.2753333,0.43,5.1,mw,16,78,0.01231,0.12,hv,hv70195287,2018-08-21T21:23:52.040Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.19,0.19,,6,reviewed,hv,hv
2018-05-26T10:44:37.620Z,19.4045,-155.278,0.19,4.8,mw,20,57,0.009972,0.23,hv,hv70193362,2018-08-21T21:23:53.040Z,"5km SW of Volcano, Hawaii",volcanic eruption,0.19,0.22,,6,reviewed,hv,hv
2018-05-26T19:34:41.160Z,19.4035,-155.2751667,0.26,4.7,mw,21,55,0.008216,0.12,hv,hv70194587,2018-08-21T21:23:53.040Z,"5km WSW of Volcano, Hawaii",volcanic eruption,0.16,0.13,,5,reviewed,hv,hv
